PLAYER,POS,TEAM,GP,GS,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Larry Nance Jr.,PF,CLE,17,3,25.9,11.1,4.2,7.8,54.1,1.3,3.3,39.3,1.3,1.8,71
Darius Garland,PG,CLE,19,19,28.2,10.9,4.1,10.8,38,1.7,4.4,38.1,1.1,1.3,83.3
Eric Gordon,SG,HOU,9,2,29.4,10.9,3.8,12.2,30.9,2.3,8.2,28.4,1,1.6,64.3
Dario Saric,PF,PHO,19,19,28.1,10.9,3.9,9.3,41.8,1.7,4.7,36,1.4,1.6,87.1
Brook Lopez,C,MIL,19,19,27,10.7,3.6,8.8,41.1,1.5,5.1,28.9,1.9,2.1,92.5
Duncan Robinson,SF,MIA,19,14,25.2,10.7,3.6,7.8,45.9,2.7,6.5,42.3,0.8,0.8,93.8
Jae Crowder,SF,MEM,20,20,30.9,10.6,3.6,8.9,39.9,2.2,6.4,33.6,1.4,2,69.2
Markieff Morris,PF,DET,20,12,22.8,10.6,4,8.3,47.6,1.6,3.8,40.3,1.1,1.5,73.3
Nemanja Bjelica,PF,SAC,19,18,26.3,10.5,4.1,8.5,47.8,1.7,3.9,42.7,0.7,0.8,93.3
Jake Layman,SF,MIN,14,2,26.4,10.5,4.4,9.4,46.2,1.4,3.9,35.2,0.4,0.7,60
Anfernee Simons,SG,POR,20,1,21.6,10.2,3.8,9,41.9,1.4,4.2,34.5,1.3,1.8,74.3
Derrick White,PG,SA,19,7,23.9,10.1,3.5,7.4,46.8,1,2.4,42.2,2.1,2.7,78.4
Damion Lee,SG,GS,11,0,21.9,10,3.2,8.3,38.5,1.1,3.2,34.3,2.5,3,84.8
E'Twaun Moore,SG,NO,15,3,21.3,10,3.9,9.3,41.7,1.3,3.6,37,0.9,1.5,63.6
George Hill,PG,MIL,19,0,21.7,9.9,3.5,6.5,53.7,1.7,3.2,52.5,1.3,1.6,80.6
Frank Kaminsky,PF,PHO,19,6,23.6,9.9,3.4,8.4,40.3,1,3.7,27.1,2.2,3.3,66.1
Steven Adams,C,OKC,16,16,26.2,9.8,4.3,7.4,58.5,0,0,0,1.2,2.6,46.3
Rondae Hollis-Jefferson,SF,TOR,12,0,22.4,9.7,3.8,6.8,56.8,0,0.2,0,2,2.7,75
Cedi Osman,SF,CLE,19,19,30.1,9.7,3.6,8.5,42,1.6,4.4,36.9,0.9,1.4,69.2
P.J. Tucker,PF,HOU,19,19,34.7,9.7,3.5,6.6,53.6,1.9,4.1,46.2,0.8,0.9,83.3
Avery Bradley,PG,LAL,10,10,27.4,9.6,4.1,8.4,48.8,0.8,2.8,28.6,0.6,0.8,75
Malik Monk,SG,CHA,22,0,21.2,9.6,3.7,8.3,44.3,1,3.8,27.4,1.2,1.5,84.4
Dejounte Murray,PG,SA,18,13,22.3,9.6,3.8,8.3,45.3,0.3,1.3,20.8,1.8,2.3,78
Tomas Satoransky,SG,CHI,21,21,26.6,9.6,3.5,7.6,45.6,1.3,3.1,41.5,1.3,1.5,90.3
Jahlil Okafor,C,NO,13,6,17.6,9.5,3.8,5.8,65.3,0.1,0.2,50,1.8,2.8,66.7
Jerami Grant,PF,DEN,17,0,22.5,9.4,3.5,8.1,43.8,1,3.2,31.5,1.3,2.1,62.9
Aaron Holiday,PG,IND,18,8,21.6,9.3,3.6,9,40.1,1.6,4,38.9,0.5,0.6,90
Kevin Huerter,SG,ATL,10,3,22.5,9.3,3.2,7.5,42.7,1.7,4.4,38.6,1.2,1.5,80
Garrett Temple,SG,BKN,20,11,26.9,9.3,3.2,8,40,2,5.8,34.5,0.9,1.2,75
Jarrett Culver,SG,MIN,19,9,23.7,9.2,3.6,9.6,37.2,1.1,3.9,28,0.9,2.2,40.5
Landry Shamet,SG,LAC,10,10,29.4,9.1,3,7.7,39,2.1,5.8,36.2,1,1,100
Kadeem Allen,SG,NY,1,0,16,9,3,6,50,3,4,75,0,0,0
Keita Bates-Diop,SF,MIN,8,0,18.8,9,3.4,6,56.2,1.6,3.2,50,0.6,1,62.5
Ky Bowman,PG,GS,22,6,23.6,9,3.5,7.9,45.1,1,2.5,40,0.9,0.9,95
Zach Collins,PF,POR,3,3,28.7,9,3,6.3,47.4,1,2.3,42.9,2,2,100
Furkan Korkmaz,SG,PHI,20,8,23,9,3.2,7.6,43,1.7,4.7,36.2,0.8,1,81
Christian Wood,PF,DET,18,0,14.7,9,3.3,5.4,61.2,0.7,1.5,48.1,1.6,2.3,69
Hamidou Diallo,SG,OKC,12,1,21.3,8.8,3.8,7.7,50,0.2,1.1,15.4,0.9,1.5,61.1
Jordan McRae,SG,WAS,12,0,17.4,8.8,3.3,7,47.6,0.9,2.3,39.3,1.2,1.3,93.8
Bobby Portis,PF,NY,21,2,21.8,8.8,3.5,8.8,40,1.1,2.9,38.3,0.7,1,70
Thaddeus Young,SF,CHI,21,0,21.3,8.8,3.5,8.6,40.6,1.1,3.3,32.9,0.7,1.3,55.6
D.J. Augustin,PG,ORL,19,5,25.5,8.7,3.1,8.2,37.2,0.9,3.2,28.3,1.7,2,86.8
Donte DiVincenzo,SG,MIL,18,10,20.9,8.7,3.3,7.7,43.2,1.4,3.8,36.2,0.7,1,66.7
Dorian Finney-Smith,SF,DAL,19,16,26.4,8.7,3.2,6.7,46.9,1.2,3.6,33.3,1.2,1.7,69.7
Kelly Olynyk,PF,MIA,19,0,22.8,8.7,3,6.4,46.7,1.6,3.7,43.7,1.1,1.3,87.5
Danny Green,SF,LAL,20,20,25.4,8.6,3.1,7,44.6,2,4.9,39.8,0.4,0.6,72.7
Cameron Johnson,SF,PHO,17,0,18.6,8.6,2.9,6.9,42.7,1.8,4.5,39,0.9,1,94.1
Draymond Green,PF,GS,13,13,27.8,8.5,3.2,7.8,40.6,0.8,2.6,29.4,1.5,1.9,76
Doug McDermott,SF,IND,20,0,20.8,8.5,3.2,7.4,43.5,1.6,3.8,42.7,0.5,0.6,83.3
Josh Okogie,SG,MIN,17,2,24.1,8.5,2.6,6.2,42.9,0.6,2.4,25,2.6,3.5,74.6
Jordan Poole,SG,GS,22,9,25.4,8.5,2.7,10.1,26.5,1.3,5.2,25.2,1.9,2.2,85.4
Mitchell Robinson,C,NY,17,6,20.5,8.5,3.4,4.9,67.9,0,0,0,1.8,2.9,61.2
Tony Snell,SG,DET,16,14,25.6,8.4,3,6.5,46.2,2.1,4.6,45.9,0.2,0.2,100
Derrick Favors,PF,NO,9,7,21,8.3,4,6.4,62.1,0.1,0.2,50,0.2,0.7,33.3
Wesley Matthews,SG,MIL,21,21,24.4,8.3,2.8,6.4,44,1.7,4.4,38,1,1.2,84
Jaxson Hayes,C,NO,17,7,19.8,8.2,3.2,5.4,60.4,0,0.1,0,1.8,2.8,63.8
Ben McLemore,SG,HOU,19,5,20.8,8.2,2.6,7.1,36.6,1.9,6,31.6,1.1,1.3,84
Ish Smith,PG,WAS,18,5,23.9,8.2,3.5,8.1,43.4,0.7,2.2,32.5,0.4,0.7,61.5
Delon Wright,PG,DAL,19,2,22.2,8.2,3.1,6.3,49.6,0.6,1.8,35.3,1.4,1.7,81.2
Ivica Zubac,C,LAC,21,19,16.1,8.2,3.2,5.3,60.4,0,0,0,1.9,2.3,81.2
Kentavious Caldwell-Pope,SG,LAL,20,10,23.2,8,3,6.8,44.5,1.2,2.8,40.4,0.7,0.9,77.8
Jeff Green,PF,UTA,21,1,18.8,8,2.4,6.5,37.2,1.1,3.6,30.7,2,2.6,79.6
Justin Holiday,SF,IND,20,2,25.2,8,2.7,6.4,41.9,1.6,4.2,39.8,1,1.2,82.6
DeAndre Jordan,C,BKN,17,3,21.5,8,3.4,4.9,68.7,0,0,0,1.3,2.1,61.1
Elfrid Payton,PG,NY,4,3,25.5,8,2.8,7.2,37.9,1.2,2,62.5,1.2,1.5,83.3
Rajon Rondo,PG,LAL,10,0,20,8,3.1,7.1,43.7,1.3,2.9,44.8,0.5,0.7,71.4
Omari Spellman,PF,GS,21,0,18.9,8,2.9,6.8,42.3,0.7,2.2,32.6,1.6,1.9,82.5
Marvin Williams,PF,CHA,22,0,20.1,8,2.8,5.5,50,1.4,3.3,41.7,1.1,1.3,89.3
Bismack Biyombo,C,CHA,20,5,16.7,7.9,3,5.2,58.1,0,0,0,1.8,3.2,55.4
Frank Jackson,PG,NO,18,1,15.8,7.9,2.7,7,38.9,1.1,3.3,33.3,1.3,1.7,80
Maxi Kleber,PF,DAL,18,5,25.3,7.9,2.7,6.6,41.5,1.4,4,36.1,1.1,1.2,86.4
Austin Rivers,PG,HOU,19,1,23.9,7.9,2.9,7.2,40.1,1.2,4.1,28.6,0.9,1.4,69.2
DeAndre' Bembry,SG,ATL,21,3,26,7.8,3.2,6.3,51.1,0.4,1.4,30,0.9,1.8,48.6
Bruce Brown,SG,DET,20,16,27.1,7.8,3.1,7,44,0.6,1.6,34.4,1,1.8,57.1
Seth Curry,SG,DAL,17,9,20.6,7.8,2.5,6,42.2,1.4,3.8,36.9,1.3,1.4,91.7
Enes Kanter,C,BOS,12,3,16.4,7.8,3,5.2,57.1,0,0.1,0,1.8,2.8,63.6
Kevin II Knox,SF,NY,20,3,20.1,7.8,2.5,6.8,37,1.3,3.7,35.1,1.6,2.4,66
JaMychal Green,PF,LAC,21,0,22.1,7.7,2.6,6.3,41.7,1.6,4.2,38.2,0.9,1,85.7
Dwight Powell,PF,DAL,16,13,25.6,7.7,3.2,5.1,63,0.2,0.7,36.4,1.1,2.1,51.5
Allonzo Trier,SG,NY,10,1,13.6,7.7,2.2,4.3,51.2,1.2,2.6,46.2,2.1,2.6,80.8
Nerlens Noel,C,OKC,18,3,18.6,7.6,3,4.7,63.5,0,0,0,1.6,2.1,76.3
Brad Wanamaker,PG,BOS,19,0,17.4,7.6,2.5,4.9,50.5,0.5,1.3,41.7,2.2,2.4,91.1
Willie Cauley-Stein,C,GS,19,18,22.4,7.5,3.4,6.3,53.8,0,0,0,0.7,1,73.7
James Ennis III,SF,PHI,21,0,17.2,7.5,2.6,5.1,50.5,1,2.2,42.6,1.4,1.8,76.3
Dwayne Bacon,SG,CHA,16,10,20.9,7.4,2.9,8.8,32.6,0.6,2.4,23.1,1.1,1.6,69.2
Damian Jones,C,ATL,20,12,18.4,7.4,3,4.4,69,0.1,0.2,40,1.2,1.7,73.5
Emmanuel Mudiay,PG,UTA,18,0,15.6,7.4,3.1,6.4,47.8,0.4,1.5,25.9,0.9,1.2,77.3
Kent Bazemore,SG,POR,20,2,22.4,7.3,2.4,7.2,33.1,1.1,3.4,32.4,1.4,1.8,77.8
Patrick Beverley,PG,LAC,19,19,29.8,7.3,2.7,7.4,36.4,1.2,4.4,27.7,0.7,1.1,61.9
Jalen Brunson,PG,DAL,19,3,16.6,7.3,2.8,6.3,45.4,0.5,2,26.3,1.1,1.5,69
Marquese Chriss,PF,GS,21,1,18.2,7.3,2.6,5.5,47.8,0.1,0.8,17.6,2,2.3,85.4
Joe Ingles,SF,UTA,21,1,27.5,7.3,2.5,6.8,36.4,1.4,4.5,30.9,1,1.3,75
Shabazz Napier,PG,MIN,7,0,20.3,7.3,2,6.3,31.8,1.1,4.6,25,2.1,2.6,83.3
Cam Reddish,SF,ATL,18,15,23.9,7.2,2.4,8.5,28.8,0.8,3.7,21.2,1.5,1.9,77.1
Chandler Hutchison,SF,CHI,9,6,17.1,7.1,2.2,4.9,45.5,0.6,1.3,41.7,2.1,3.2,65.5
JaVale McGee,C,LAL,20,20,16.8,7.1,3.2,5.2,61.2,0,0,0,0.8,1.2,64
Mason Plumlee,PF,DEN,17,0,16.7,7.1,2.9,4.9,59,0,0.1,0,1.4,2.6,51.1
Troy Brown Jr.,SG,WAS,15,11,21.1,7,2.9,6.7,43.6,0.5,1.7,26.9,0.7,0.8,83.3
Terence Davis,SG,TOR,19,0,15.9,7,2.6,5.1,50.5,1.2,2.7,44.2,0.6,0.7,92.3
Edmond Sumner,PG,IND,3,2,22.3,7,3,6,50,0,1,0,1,1.7,60
Tremont Waters,PG,BOS,1,0,20,7,2,7,28.6,1,5,20,2,2,100
Tyler Johnson,SG,PHO,18,3,20,6.9,2.4,6.1,40,1,3,33.3,1,1.3,75
Dwight Howard,C,LAL,20,0,19.9,6.8,2.7,3.6,75,0,0,0,1.4,2.4,55.1
Alex Len,C,ATL,20,9,16.8,6.8,2.6,5.3,49.1,0.2,1.3,15.4,1.4,2,68.3
T.J. McConnell,PG,IND,18,0,17.3,6.8,3.2,6.2,50.9,0.1,0.2,33.3,0.4,0.5,88.9
Abdel Nader,SF,OKC,12,0,14.1,6.8,2.3,4.9,47.5,1,2.6,38.7,1.2,1.5,77.8
Kyle Anderson,SF,MEM,17,0,20.5,6.7,2.8,5.5,50.5,0.2,0.9,25,0.9,1.6,57.1
Boban Marjanovic,C,DAL,9,1,12,6.7,2.8,5.4,51,0,0.1,0,1.1,1.3,83.3
Grayson Allen,SG,MEM,10,0,18.4,6.6,2.1,6.8,30.9,0.9,3.3,27.3,1.5,1.7,88.2
Solomon Hill,SF,MEM,18,1,18.8,6.6,2.4,5.2,46.2,1.3,2.9,44.2,0.6,0.9,62.5
Ersan Ilyasova,SF,MIL,19,0,16.1,6.6,2.4,4.9,48.4,0.7,2.4,30.4,1.2,1.4,81.5
Justin Jackson,SF,DAL,18,0,13.2,6.6,2.4,4.9,50,1.2,2.5,46.7,0.5,0.6,81.8
Monte Morris,PG,DEN,17,0,17.2,6.6,2.7,6.5,41.4,0.4,1.1,38.9,0.8,1.2,70
Malik Beasley,SG,DEN,13,0,15.6,6.5,2.4,6,39.7,1.4,2.9,47.4,0.4,0.4,100
Frank Ntilikina,PG,NY,19,15,26.1,6.5,2.5,6.5,38.2,0.8,2.5,33.3,0.7,0.9,76.5
Nickeil Alexander-Walker,SG,NO,16,0,14.4,6.4,2.2,7,32.1,1.3,3.8,34.4,0.6,0.9,71.4
Skal Labissiere,PF,POR,20,0,16.8,6.4,2.8,4.8,56.7,0.1,0.4,28.6,0.8,1.1,68.2
C.J. Miles,SF,WAS,10,0,16.1,6.4,1.9,5.9,32.2,1.1,3.5,31.4,1.5,2,75
Daniel Theis,PF,BOS,16,15,21.6,6.4,2.6,5.3,48.2,0.1,0.8,15.4,1.2,1.7,70.4
Treveon Graham,SG,MIN,18,17,24.4,6.3,2.3,6.9,33.6,0.6,3.1,19.6,1,1.2,81.8
Kevin Porter,SG,CLE,18,1,20.4,6.3,2.4,6.2,38.7,0.4,2.1,21.1,1.1,1.4,76
Mikal Bridges,SF,PHO,19,0,20.3,6.2,2.3,5.1,44.8,0.4,1.6,22.6,1.3,1.6,80.6
Kris Dunn,PG,CHI,21,2,21,6.2,2.7,6.5,41.9,0.3,2,16.3,0.4,0.6,69.2
Meyers Leonard,PF,MIA,19,19,18.9,6.2,2.5,4.2,60,0.9,1.8,52.9,0.2,0.4,50
Trey Burke,PG,PHI,7,0,17.4,6.1,2.3,6.4,35.6,0.7,1.9,38.5,0.9,1.1,75
Damyean Dotson,SG,NY,17,0,16.4,6.1,2.3,5.6,41.1,0.9,3.1,30.2,0.6,0.8,76.9
Marc Gasol,C,TOR,19,19,28.4,6.1,2,6.2,32.2,1.2,3.3,37.1,0.9,1.1,81
Nicolo Melli,PF,NO,18,3,16.1,6.1,2,4.8,41.9,1.2,3.3,35,0.9,1.1,80
Jacob Evans,SG,GS,3,0,14.3,6,1.7,4,41.7,1.3,2.7,50,1.3,1.3,100
Tyus Jones,PG,MEM,20,3,20.2,6,2.4,6.5,37.7,0.3,1.6,19.4,0.8,1.2,69.6
Chris Boucher,PF,TOR,17,0,12.8,5.9,2.1,4.8,44.4,0.5,1.6,28.6,1.2,1.7,69
Royce O'Neale,SF,UTA,21,20,28.7,5.9,2.1,4.3,48.9,1.2,2.6,45.5,0.5,0.6,83.3
Dennis Smith Jr.,PG,NY,14,1,17.9,5.9,2.2,6.3,35.2,0.6,2,32.1,0.8,1.4,57.9
Sterling Brown,SG,MIL,15,0,17,5.8,2.1,4.9,41.9,1,2.7,37.5,0.7,0.9,76.9
Maurice Harkless,SF,LAC,21,11,22.1,5.7,2.3,4.6,51,0.5,1.4,37.9,0.5,1,50
Kyle Korver,SG,MIL,17,0,15.1,5.7,1.9,5.2,36.4,1.6,4.3,37,0.4,0.5,75
Jakob Poeltl,C,SA,21,6,17.9,5.7,2.5,4.3,57.8,0,0,0,0.8,1.3,57.1
Pat Connaughton,SG,MIL,19,0,18,5.6,2.1,4.4,47.6,0.8,2.5,31.2,0.6,0.8,75
Terrance Ferguson,SG,OKC,18,18,25.8,5.6,2,4.7,42.4,1.2,3.3,35.6,0.4,0.5,77.8
Derrick Jones Jr.,SF,MIA,5,0,11.6,5.6,2.4,4,60,0.2,0.8,25,0.6,0.6,100
JaKarr Sampson,SF,IND,9,7,18.4,5.6,2.6,4.6,56.1,0.2,1.1,20,0.2,0.8,28.6
Mike Scott,PF,PHI,21,0,19,5.6,2,5,40.6,1,3.2,32.8,0.5,0.5,90.9
Kenrich Williams,SG,NO,19,11,24.7,5.6,2.1,4.8,42.9,1.1,3,35.1,0.4,1,42.1
Quinn Cook,PG,LAL,17,0,14.2,5.5,2.3,5.2,43.8,0.7,1.9,36.4,0.2,0.3,80
Gorgui Dieng,C,MIN,15,2,12.7,5.5,2.1,4.5,45.6,0.5,1.6,33.3,0.8,1.1,75
Taj Gibson,PF,NY,19,13,16.4,5.5,2.5,4.8,51.6,0.1,0.4,25,0.5,0.8,60
Brandon Knight,PG,CLE,6,0,12.7,5.5,1.8,5.3,34.4,1.5,4.3,34.6,0.3,0.7,50
Cheick Diallo,PF,PHO,13,0,9.5,5.4,2.4,3,79.5,0,0,0,0.6,0.7,88.9
Marko Guduric,SG,MEM,20,0,15.6,5.4,2,5.4,38.3,0.8,2.6,30.8,0.5,0.5,100
D.J. Wilson,PF,MIL,9,0,11.3,5.4,2.2,4.2,52.6,1,2.9,34.6,0,0,0
Mo Bamba,C,ORL,17,0,15.3,5.3,2.2,5.4,40.2,0.7,1.9,36.4,0.2,0.5,50
