Round Number,Date,Location,Home Team,Away Team,Result
13,16/01/2020 22:30,Chase Center,Golden State Warriors,Denver Nuggets,
13,16/01/2020 22:30,Staples Center,LA Clippers,Orlando Magic,
13,17/01/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Minnesota Timberwolves,
13,17/01/2020 19:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
13,17/01/2020 19:00,Scotiabank Arena,Toronto Raptors,Washington Wizards,
13,17/01/2020 20:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,
13,17/01/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Miami Heat,
13,17/01/2020 20:30,AT&T Center,San Antonio Spurs,Atlanta Hawks,
13,17/01/2020 21:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,
13,18/01/2020 15:30,Smoothie King Center,New Orleans Pelicans,LA Clippers,
13,18/01/2020 18:00,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
13,18/01/2020 19:00,TD Garden,Boston Celtics,Phoenix Suns,
13,18/01/2020 19:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,
13,18/01/2020 19:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,
13,18/01/2020 20:00,United Center,Chicago Bulls,Cleveland Cavaliers,
13,18/01/2020 20:00,Target Center,Minnesota Timberwolves,Toronto Raptors,
13,18/01/2020 20:30,Toyota Center,Houston Rockets,Los Angeles Lakers,
13,18/01/2020 20:30,Chase Center,Golden State Warriors,Orlando Magic,
13,18/01/2020 21:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,
13,18/01/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,
13,19/01/2020 15:00,AT&T Center,San Antonio Spurs,Miami Heat,
13,19/01/2020 20:00,Pepsi Center,Denver Nuggets,Indiana Pacers,
13,20/01/2020 14:00,Capital One Arena,Washington Wizards,Detroit Pistons,
13,20/01/2020 14:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,
13,20/01/2020 15:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
13,20/01/2020 17:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
13,20/01/2020 17:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
13,20/01/2020 17:00,AmericanAirlines Arena,Miami Heat,Sacramento Kings,
13,20/01/2020 17:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,
13,20/01/2020 17:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,
13,20/01/2020 17:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,
13,20/01/2020 19:30,TD Garden,Boston Celtics,Los Angeles Lakers,
13,20/01/2020 20:00,Target Center,Minnesota Timberwolves,Denver Nuggets,
13,20/01/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,
13,20/01/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Indiana Pacers,
13,20/01/2020 22:00,Moda Center,Portland Trail Blazers,Golden State Warriors,
13,21/01/2020 20:30,American Airlines Center,Dallas Mavericks,LA Clippers,
13,22/01/2020 19:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,
13,22/01/2020 19:00,Amway Center,Orlando Magic,Oklahoma City Thunder,
13,22/01/2020 19:30,State Farm Arena,Atlanta Hawks,LA Clippers,
13,22/01/2020 19:30,TD Garden,Boston Celtics,Memphis Grizzlies,
13,22/01/2020 19:30,AmericanAirlines Arena,Miami Heat,Washington Wizards,
13,22/01/2020 19:30,Madison Square Garden,New York Knicks,Los Angeles Lakers,
13,22/01/2020 19:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,
13,22/01/2020 20:00,United Center,Chicago Bulls,Minnesota Timberwolves,
13,22/01/2020 20:00,Toyota Center,Houston Rockets,Denver Nuggets,
13,22/01/2020 20:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
13,22/01/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Indiana Pacers,
13,22/01/2020 22:00,Chase Center,Golden State Warriors,Utah Jazz,
14,23/01/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Washington Wizards,
14,23/01/2020 20:00,Barclays Center,Brooklyn Nets,Los Angeles Lakers,
14,23/01/2020 22:30,Moda Center,Portland Trail Blazers,Dallas Mavericks,
14,24/01/2020 15:00,AccorHotels Arena,Charlotte Hornets,Milwaukee Bucks,
14,24/01/2020 19:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,
14,24/01/2020 19:00,Amway Center,Orlando Magic,Boston Celtics,
14,24/01/2020 19:30,Madison Square Garden,New York Knicks,Toronto Raptors,
14,24/01/2020 20:00,AmericanAirlines Arena,Miami Heat,LA Clippers,
14,24/01/2020 20:00,United Center,Chicago Bulls,Sacramento Kings,
14,24/01/2020 20:00,Target Center,Minnesota Timberwolves,Houston Rockets,
14,24/01/2020 20:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,
14,24/01/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Atlanta Hawks,
14,24/01/2020 20:30,AT&T Center,San Antonio Spurs,Phoenix Suns,
14,24/01/2020 22:30,Chase Center,Golden State Warriors,Indiana Pacers,
14,25/01/2020 17:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,
14,25/01/2020 19:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,
14,25/01/2020 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,
14,25/01/2020 20:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,
14,25/01/2020 20:30,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,
14,26/01/2020 15:30,Pepsi Center,Denver Nuggets,Houston Rockets,
14,26/01/2020 16:00,AT&T Center,San Antonio Spurs,Toronto Raptors,
14,26/01/2020 18:00,State Farm Arena,Atlanta Hawks,Washington Wizards,
14,26/01/2020 18:00,Madison Square Garden,New York Knicks,Brooklyn Nets,
14,26/01/2020 18:00,Amway Center,Orlando Magic,LA Clippers,
14,26/01/2020 18:00,FedExForum,Memphis Grizzlies,Phoenix Suns,
14,26/01/2020 18:00,Smoothie King Center,New Orleans Pelicans,Boston Celtics,
14,26/01/2020 21:00,Moda Center,Portland Trail Blazers,Indiana Pacers,
14,27/01/2020 19:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,
14,27/01/2020 19:30,AmericanAirlines Arena,Miami Heat,Orlando Magic,
14,27/01/2020 20:00,United Center,Chicago Bulls,San Antonio Spurs,
14,27/01/2020 20:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
14,27/01/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,
14,27/01/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Houston Rockets,
14,28/01/2020 19:00,Spectrum Center,Charlotte Hornets,New York Knicks,
14,28/01/2020 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New Orleans Pelicans,
14,28/01/2020 19:30,AmericanAirlines Arena,Miami Heat,Boston Celtics,
14,28/01/2020 19:30,Wells Fargo Center,Philadelphia 76ers,Golden State Warriors,
14,28/01/2020 19:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,
14,28/01/2020 20:00,FedExForum,Memphis Grizzlies,Denver Nuggets,
14,28/01/2020 20:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,
14,28/01/2020 20:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,
14,28/01/2020 22:00,Staples Center,Los Angeles Lakers,LA Clippers,
14,29/01/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,
14,29/01/2020 19:30,Barclays Center,Brooklyn Nets,Detroit Pistons,
14,29/01/2020 19:30,Madison Square Garden,New York Knicks,Memphis Grizzlies,
14,29/01/2020 20:30,AT&T Center,San Antonio Spurs,Utah Jazz,
14,29/01/2020 22:00,Moda Center,Portland Trail Blazers,Houston Rockets,
14,29/01/2020 22:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,
15,30/01/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,
15,30/01/2020 19:00,Capital One Arena,Washington Wizards,Charlotte Hornets,
15,30/01/2020 19:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,
15,30/01/2020 20:00,TD Garden,Boston Celtics,Golden State Warriors,
15,30/01/2020 22:30,Pepsi Center,Denver Nuggets,Utah Jazz,
15,30/01/2020 22:30,Staples Center,LA Clippers,Sacramento Kings,
15,31/01/2020 19:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,
15,31/01/2020 19:30,Barclays Center,Brooklyn Nets,Chicago Bulls,
15,31/01/2020 20:00,Toyota Center,Houston Rockets,Dallas Mavericks,
15,31/01/2020 20:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,
15,31/01/2020 21:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,
15,31/01/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,
15,31/01/2020 22:30,Staples Center,Los Angeles Lakers,Portland Trail Blazers,
15,01/02/2020 15:30,Staples Center,LA Clippers,Minnesota Timberwolves,
15,01/02/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,
15,01/02/2020 19:00,Amway Center,Orlando Magic,Miami Heat,
15,01/02/2020 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Golden State Warriors,
15,01/02/2020 20:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
15,01/02/2020 20:30,TD Garden,Boston Celtics,Philadelphia 76ers,
15,01/02/2020 20:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,
15,01/02/2020 21:00,AT&T Center,San Antonio Spurs,Charlotte Hornets,
15,01/02/2020 22:00,Moda Center,Portland Trail Blazers,Utah Jazz,
15,01/02/2020 22:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
15,02/02/2020 12:30,Little Caesars Arena,Detroit Pistons,Denver Nuggets,
15,02/02/2020 14:00,Toyota Center,Houston Rockets,New Orleans Pelicans,
15,02/02/2020 14:00,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,
15,02/02/2020 15:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,
15,03/02/2020 19:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
15,03/02/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
15,03/02/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Dallas Mavericks,
15,03/02/2020 19:00,Capital One Arena,Washington Wizards,Golden State Warriors,
15,03/02/2020 19:30,State Farm Arena,Atlanta Hawks,Boston Celtics,
15,03/02/2020 19:30,Barclays Center,Brooklyn Nets,Phoenix Suns,
15,03/02/2020 19:30,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,
15,03/02/2020 20:00,FedExForum,Memphis Grizzlies,Detroit Pistons,
15,03/02/2020 22:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,
15,03/02/2020 22:30,Staples Center,LA Clippers,San Antonio Spurs,
15,04/02/2020 19:30,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,
15,04/02/2020 20:00,Toyota Center,Houston Rockets,Charlotte Hornets,
15,04/02/2020 22:00,Pepsi Center,Denver Nuggets,Portland Trail Blazers,
15,04/02/2020 22:30,Staples Center,Los Angeles Lakers,San Antonio Spurs,
15,05/02/2020 19:00,Little Caesars Arena,Detroit Pistons,Phoenix Suns,
15,05/02/2020 19:30,TD Garden,Boston Celtics,Orlando Magic,
15,05/02/2020 19:30,Barclays Center,Brooklyn Nets,Golden State Warriors,
15,05/02/2020 19:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,
15,05/02/2020 20:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,
15,05/02/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Cleveland Cavaliers,
15,05/02/2020 20:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,
15,05/02/2020 22:00,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets,
15,05/02/2020 22:30,Staples Center,LA Clippers,Miami Heat,
16,06/02/2020 19:30,Madison Square Garden,New York Knicks,Orlando Magic,
16,06/02/2020 20:00,United Center,Chicago Bulls,New Orleans Pelicans,
16,06/02/2020 20:00,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
16,06/02/2020 22:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,
16,06/02/2020 22:30,Staples Center,Los Angeles Lakers,Houston Rockets,
16,07/02/2020 19:00,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,
16,07/02/2020 19:00,Capital One Arena,Washington Wizards,Dallas Mavericks,
16,07/02/2020 19:30,TD Garden,Boston Celtics,Atlanta Hawks,
16,07/02/2020 20:00,Bankers Life Fieldhouse,Indiana Pacers,Toronto Raptors,
16,07/02/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Detroit Pistons,
16,07/02/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Houston Rockets,
16,07/02/2020 22:00,Golden 1 Center,Sacramento Kings,Miami Heat,
16,07/02/2020 22:30,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,
16,08/02/2020 17:00,Amway Center,Orlando Magic,Milwaukee Bucks,
16,08/02/2020 19:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,
16,08/02/2020 19:00,Little Caesars Arena,Detroit Pistons,New York Knicks,
16,08/02/2020 19:30,Bankers Life Fieldhouse,Indiana Pacers,New Orleans Pelicans,
16,08/02/2020 19:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,
16,08/02/2020 20:00,Target Center,Minnesota Timberwolves,LA Clippers,
16,08/02/2020 20:30,Chase Center,Golden State Warriors,Los Angeles Lakers,
16,08/02/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,
16,08/02/2020 22:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,
16,09/02/2020 15:30,Chesapeake Energy Arena,Oklahoma City Thunder,Boston Celtics,
16,09/02/2020 18:00,State Farm Arena,Atlanta Hawks,New York Knicks,
16,09/02/2020 18:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
16,09/02/2020 18:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,
16,09/02/2020 19:00,Toyota Center,Houston Rockets,Utah Jazz,
16,09/02/2020 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,LA Clippers,
16,09/02/2020 21:00,Moda Center,Portland Trail Blazers,Miami Heat,
16,10/02/2020 19:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,
16,10/02/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,
16,10/02/2020 19:00,Amway Center,Orlando Magic,Atlanta Hawks,
16,10/02/2020 19:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,
16,10/02/2020 20:00,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,
16,10/02/2020 20:30,American Airlines Center,Dallas Mavericks,Utah Jazz,
16,10/02/2020 21:00,Pepsi Center,Denver Nuggets,San Antonio Spurs,
16,10/02/2020 22:30,Chase Center,Golden State Warriors,Miami Heat,
16,10/02/2020 22:30,Staples Center,Los Angeles Lakers,Phoenix Suns,
16,11/02/2020 19:00,Wells Fargo Center,Philadelphia 76ers,LA Clippers,
16,11/02/2020 19:00,Capital One Arena,Washington Wizards,Chicago Bulls,
16,11/02/2020 20:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,
16,11/02/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,San Antonio Spurs,
16,11/02/2020 21:30,Toyota Center,Houston Rockets,Boston Celtics,
16,12/02/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,
16,12/02/2020 19:00,Amway Center,Orlando Magic,Detroit Pistons,
16,12/02/2020 19:30,Barclays Center,Brooklyn Nets,Toronto Raptors,
16,12/02/2020 19:30,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,
16,12/02/2020 19:30,Madison Square Garden,New York Knicks,Washington Wizards,
16,12/02/2020 20:00,FedExForum,Memphis Grizzlies,Portland Trail Blazers,
16,12/02/2020 20:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,
16,12/02/2020 20:30,American Airlines Center,Dallas Mavericks,Sacramento Kings,
16,12/02/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,
16,12/02/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Miami Heat,
16,12/02/2020 22:00,Pepsi Center,Denver Nuggets,Los Angeles Lakers,
16,13/02/2020 20:00,TD Garden,Boston Celtics,LA Clippers,
16,13/02/2020 20:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,
17,20/02/2020 19:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,
17,20/02/2020 19:30,State Farm Arena,Atlanta Hawks,Miami Heat,
17,20/02/2020 20:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,
17,20/02/2020 20:00,United Center,Chicago Bulls,Charlotte Hornets,
17,20/02/2020 22:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,
17,20/02/2020 22:30,Chase Center,Golden State Warriors,Houston Rockets,
17,21/02/2020 19:00,Amway Center,Orlando Magic,Dallas Mavericks,
17,21/02/2020 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
17,21/02/2020 19:30,Madison Square Garden,New York Knicks,Indiana Pacers,
17,21/02/2020 19:30,Scotiabank Arena,Toronto Raptors,Phoenix Suns,
17,21/02/2020 20:00,Target Center,Minnesota Timberwolves,Boston Celtics,
17,21/02/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,
17,21/02/2020 21:00,Vivint Smart Home Arena,Utah Jazz,San Antonio Spurs,
17,21/02/2020 22:30,Staples Center,Los Angeles Lakers,Memphis Grizzlies,
17,21/02/2020 22:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,
17,22/02/2020 15:30,Staples Center,LA Clippers,Sacramento Kings,
17,22/02/2020 19:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,
17,22/02/2020 19:30,State Farm Arena,Atlanta Hawks,Dallas Mavericks,
17,22/02/2020 20:00,AmericanAirlines Arena,Miami Heat,Cleveland Cavaliers,
17,22/02/2020 20:00,United Center,Chicago Bulls,Phoenix Suns,
17,22/02/2020 20:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
17,22/02/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Houston Rockets,
17,23/02/2020 15:30,Staples Center,Los Angeles Lakers,Boston Celtics,
17,23/02/2020 18:00,Scotiabank Arena,Toronto Raptors,Indiana Pacers,
17,23/02/2020 18:00,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,
17,23/02/2020 19:00,United Center,Chicago Bulls,Washington Wizards,
17,23/02/2020 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,San Antonio Spurs,
17,23/02/2020 20:30,Chase Center,Golden State Warriors,New Orleans Pelicans,
17,23/02/2020 21:00,Moda Center,Portland Trail Blazers,Detroit Pistons,
17,24/02/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,
17,24/02/2020 19:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,
17,24/02/2020 19:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
17,24/02/2020 19:30,Barclays Center,Brooklyn Nets,Orlando Magic,
17,24/02/2020 20:00,Toyota Center,Houston Rockets,New York Knicks,
17,24/02/2020 20:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
17,24/02/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Phoenix Suns,
17,24/02/2020 22:30,Staples Center,LA Clippers,Memphis Grizzlies,
17,25/02/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Charlotte Hornets,
17,25/02/2020 19:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
17,25/02/2020 20:00,United Center,Chicago Bulls,Oklahoma City Thunder,
17,25/02/2020 21:00,Pepsi Center,Denver Nuggets,Detroit Pistons,
17,25/02/2020 22:00,Staples Center,Los Angeles Lakers,New Orleans Pelicans,
17,25/02/2020 22:00,Moda Center,Portland Trail Blazers,Boston Celtics,
17,25/02/2020 22:30,Chase Center,Golden State Warriors,Sacramento Kings,
17,26/02/2020 19:00,Spectrum Center,Charlotte Hornets,New York Knicks,
17,26/02/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,
17,26/02/2020 19:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
17,26/02/2020 19:30,State Farm Arena,Atlanta Hawks,Orlando Magic,
17,26/02/2020 19:30,AmericanAirlines Arena,Miami Heat,Minnesota Timberwolves,
17,26/02/2020 19:30,AT&T Center,San Antonio Spurs,Dallas Mavericks,
17,26/02/2020 20:00,Toyota Center,Houston Rockets,Memphis Grizzlies,
17,26/02/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,
17,26/02/2020 22:00,Vivint Smart Home Arena,Utah Jazz,Boston Celtics,
18,27/02/2020 19:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,
18,27/02/2020 20:00,Bankers Life Fieldhouse,Indiana Pacers,Portland Trail Blazers,
18,27/02/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,
18,27/02/2020 22:30,Chase Center,Golden State Warriors,Los Angeles Lakers,
18,28/02/2020 19:00,Amway Center,Orlando Magic,Minnesota Timberwolves,
18,28/02/2020 19:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
18,28/02/2020 19:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
18,28/02/2020 20:00,AmericanAirlines Arena,Miami Heat,Dallas Mavericks,
18,28/02/2020 20:00,FedExForum,Memphis Grizzlies,Sacramento Kings,
18,28/02/2020 20:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,
18,28/02/2020 20:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,
18,28/02/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Detroit Pistons,
18,28/02/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Washington Wizards,
18,28/02/2020 22:30,Staples Center,LA Clippers,Denver Nuggets,
18,29/02/2020 17:00,Madison Square Garden,New York Knicks,Chicago Bulls,
18,29/02/2020 19:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,
18,29/02/2020 19:30,AmericanAirlines Arena,Miami Heat,Brooklyn Nets,
18,29/02/2020 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,
18,29/02/2020 20:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
18,29/02/2020 20:30,TD Garden,Boston Celtics,Houston Rockets,
18,29/02/2020 20:30,AT&T Center,San Antonio Spurs,Orlando Magic,
18,29/02/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,
18,01/03/2020 13:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,
18,01/03/2020 15:30,Target Center,Minnesota Timberwolves,Dallas Mavericks,
18,01/03/2020 15:30,Staples Center,LA Clippers,Philadelphia 76ers,
18,01/03/2020 18:00,Pepsi Center,Denver Nuggets,Toronto Raptors,
18,01/03/2020 18:00,Golden 1 Center,Sacramento Kings,Detroit Pistons,
18,01/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,
18,01/03/2020 20:30,Chase Center,Golden State Warriors,Washington Wizards,
18,02/03/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Utah Jazz,
18,02/03/2020 19:00,Madison Square Garden,New York Knicks,Houston Rockets,
18,02/03/2020 19:00,Amway Center,Orlando Magic,Portland Trail Blazers,
18,02/03/2020 19:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,
18,02/03/2020 19:30,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,
18,02/03/2020 20:00,United Center,Chicago Bulls,Dallas Mavericks,
18,02/03/2020 20:30,AT&T Center,San Antonio Spurs,Indiana Pacers,
18,03/03/2020 19:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,
18,03/03/2020 19:30,TD Garden,Boston Celtics,Brooklyn Nets,
18,03/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
18,03/03/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,
18,03/03/2020 21:00,Pepsi Center,Denver Nuggets,Golden State Warriors,
18,03/03/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Toronto Raptors,
18,03/03/2020 22:00,Staples Center,Los Angeles Lakers,Philadelphia 76ers,
18,03/03/2020 22:00,Golden 1 Center,Sacramento Kings,Washington Wizards,
18,04/03/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,
18,04/03/2020 19:00,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,
18,04/03/2020 19:00,AmericanAirlines Arena,Miami Heat,Orlando Magic,
18,04/03/2020 19:30,Barclays Center,Brooklyn Nets,Memphis Grizzlies,
18,04/03/2020 19:30,Madison Square Garden,New York Knicks,Utah Jazz,
